NIAB_Plot_2014,W8,NPPC code,location,treatment,rep,barcode,genotype,control,type,idtype
399,MEL 121-1a,131,1,1,2,W8-131112,MEL 121-1a,0,2,RIL
965,MEL 122-1a,132,1,1,1,W8-132111,MEL 122-1a,0,2,RIL
965,MEL 122-1a,132,1,1,2,W8-132112,MEL 122-1a,0,2,RIL
408,MEL 123-1,133,1,1,1,W8-133111,MEL 123-1,0,2,RIL
408,MEL 123-1,133,1,1,2,W8-133112,MEL 123-1,0,2,RIL
411,MEL 124-2,134,1,1,1,W8-134111,MEL 124-2,0,2,RIL
411,MEL 124-2,134,1,1,2,W8-134112,MEL 124-2,0,2,RIL
415,MEL 125-1b,135,1,1,1,W8-135111,MEL 125-1b,0,2,RIL
415,MEL 125-1b,135,1,1,2,W8-135112,MEL 125-1b,0,2,RIL
967,MEL 126-1,136,1,1,1,W8-136111,MEL 126-1,0,2,RIL
967,MEL 126-1,136,1,1,2,W8-136112,MEL 126-1,0,2,RIL
770,MEL 127-1a,137,1,1,1,W8-137111,MEL 127-1a,0,2,RIL
770,MEL 127-1a,137,1,1,2,W8-137112,MEL 127-1a,0,2,RIL
423,MEL 128-1,138,1,1,1,W8-138111,MEL 128-1,0,2,RIL
423,MEL 128-1,138,1,1,2,W8-138112,MEL 128-1,0,2,RIL
427,MEL 129-1,139,1,1,1,W8-139111,MEL 129-1,0,2,RIL
427,MEL 129-1,139,1,1,2,W8-139112,MEL 129-1,0,2,RIL
431,MEL 130-1,140,1,1,1,W8-140111,MEL 130-1,0,2,RIL
431,MEL 130-1,140,1,1,2,W8-140112,MEL 130-1,0,2,RIL
974,MEL 131-1a,141,1,1,1,W8-141111,MEL 131-1a,0,2,RIL
974,MEL 131-1a,141,1,1,2,W8-141112,MEL 131-1a,0,2,RIL
437,MEL 132-1,142,1,1,1,W8-142111,MEL 132-1,0,2,RIL
437,MEL 132-1,142,1,1,2,W8-142112,MEL 132-1,0,2,RIL
441,MEL 133-1,143,1,1,1,W8-143111,MEL 133-1,0,2,RIL
441,MEL 133-1,143,1,1,2,W8-143112,MEL 133-1,0,2,RIL
981,MEL 134a-1,144,1,1,1,W8-144111,MEL 134a-1,0,2,RIL
981,MEL 134a-1,144,1,1,2,W8-144112,MEL 134a-1,0,2,RIL
985,MEL 135-1a,145,1,1,1,W8-145111,MEL 135-1a,0,2,RIL
985,MEL 135-1a,145,1,1,2,W8-145112,MEL 135-1a,0,2,RIL
447,MEL 136-1a,146,1,1,1,W8-146111,MEL 136-1a,0,2,RIL
447,MEL 136-1a,146,1,1,2,W8-146112,MEL 136-1a,0,2,RIL
450,MEL 137a-1,147,1,1,1,W8-147111,MEL 137a-1,0,2,RIL
450,MEL 137a-1,147,1,1,2,W8-147112,MEL 137a-1,0,2,RIL
453,MEL 138-1,148,1,1,1,W8-148111,MEL 138-1,0,2,RIL
453,MEL 138-1,148,1,1,2,W8-148112,MEL 138-1,0,2,RIL
455,MEL 139-1,149,1,1,1,W8-149111,MEL 139-1,0,2,RIL
455,MEL 139-1,149,1,1,2,W8-149112,MEL 139-1,0,2,RIL
459,MEL 140-1b,150,1,1,1,W8-150111,MEL 140-1b,0,2,RIL
459,MEL 140-1b,150,1,1,2,W8-150112,MEL 140-1b,0,2,RIL
462,MEL 141-1,151,1,1,1,W8-151111,MEL 141-1,0,2,RIL
462,MEL 141-1,151,1,1,2,W8-151112,MEL 141-1,0,2,RIL
467,MEL 142-2,152,1,1,1,W8-152111,MEL 142-2,0,2,RIL
467,MEL 142-2,152,1,1,2,W8-152112,MEL 142-2,0,2,RIL
1002,MEL 143-1,153,1,1,1,W8-153111,MEL 143-1,0,2,RIL
1002,MEL 143-1,153,1,1,2,W8-153112,MEL 143-1,0,2,RIL
475,MEL 144-1a,154,1,1,1,W8-154111,MEL 144-1a,0,2,RIL
475,MEL 144-1a,154,1,1,2,W8-154112,MEL 144-1a,0,2,RIL
1007,MEL 145-1,155,1,1,1,W8-155111,MEL 145-1,0,2,RIL
1007,MEL 145-1,155,1,1,2,W8-155112,MEL 145-1,0,2,RIL
480,MEL 146-1a,156,1,1,1,W8-156111,MEL 146-1a,0,2,RIL
480,MEL 146-1a,156,1,1,2,W8-156112,MEL 146-1a,0,2,RIL
483,MEL 147-1,157,1,1,1,W8-157111,MEL 147-1,0,2,RIL
483,MEL 147-1,157,1,1,2,W8-157112,MEL 147-1,0,2,RIL
485,MEL 148-1a,158,1,1,1,W8-158111,MEL 148-1a,0,2,RIL
485,MEL 148-1a,158,1,1,2,W8-158112,MEL 148-1a,0,2,RIL
491,MEL 149-1,159,1,1,1,W8-159111,MEL 149-1,0,2,RIL
491,MEL 149-1,159,1,1,2,W8-159112,MEL 149-1,0,2,RIL
495,MEL 150-3,160,1,1,1,W8-160111,MEL 150-3,0,2,RIL
495,MEL 150-3,160,1,1,2,W8-160112,MEL 150-3,0,2,RIL
499,MEL 151-1,161,1,1,1,W8-161111,MEL 151-1,0,2,RIL
499,MEL 151-1,161,1,1,2,W8-161112,MEL 151-1,0,2,RIL
503,MEL 152-1a,162,1,1,1,W8-162111,MEL 152-1a,0,2,RIL
503,MEL 152-1a,162,1,1,2,W8-162112,MEL 152-1a,0,2,RIL
507,MEL 153-1,163,1,1,1,W8-163111,MEL 153-1,0,2,RIL
507,MEL 153-1,163,1,1,2,W8-163112,MEL 153-1,0,2,RIL
508,MEL 154-1a,164,1,1,1,W8-164111,MEL 154-1a,0,2,RIL
508,MEL 154-1a,164,1,1,2,W8-164112,MEL 154-1a,0,2,RIL
511,MEL 155-1a,165,1,1,1,W8-165111,MEL 155-1a,0,2,RIL
511,MEL 155-1a,165,1,1,2,W8-165112,MEL 155-1a,0,2,RIL
514,MEL 156-1,166,1,1,1,W8-166111,MEL 156-1,0,2,RIL
514,MEL 156-1,166,1,1,2,W8-166112,MEL 156-1,0,2,RIL
518,MEL 157-1,167,1,1,1,W8-167111,MEL 157-1,0,2,RIL
518,MEL 157-1,167,1,1,2,W8-167112,MEL 157-1,0,2,RIL
522,MEL 158-1,168,1,1,1,W8-168111,MEL 158-1,0,2,RIL
522,MEL 158-1,168,1,1,2,W8-168112,MEL 158-1,0,2,RIL
